Total,Crew,Passenger,Ground,Type,Incident,Aircraft,Location,Phase,Airport,Distance,
"1,700",11,81,"1,600",INH,American Airlines Flight 11,Boeing 767-223ER,"New York City, New York, U.S.","ENR
[11]",,,2001-09-11
"1,000",9,56,900,INH,United Airlines Flight 175,Boeing 767-222,"New York City, New York, U.S.","ENR
[12]",,,2001-09-11
583,23,560,0,COM,"Pan Am Flight 1736 and
KLM Flight 4805",Boeing 747-121 and Boeing 747-206B,"Tenerife, Spain","TXI/TOF
[10][16][17]",TFN,,1977-03-27
520,15,505,0,COM,Japan Airlines Flight 123,Boeing 747SR-46,"Ueno, Japan","ENR
[18][19]",,,1985-08-12
349,33,316,0,COM,"Saudi Arabian Flight 763 and
Kazakhstan Airlines Flight 1907",Boeing 747-168B and Ilyushin Il-76TD,"Charkhi Dadri, India","ENR
[20][21]",,,1996-11-12
346,11,335,0,COM,Turkish Airlines Flight 981,McDonnell Douglas DC-10-10,"Fontaine-Chaalis, France","ENR
[22][23]
[24]",,,1974-03-03
329,22,307,0,INB,Air India Flight 182,Boeing 747-237B,"Atlantic Ocean, area of Cork, Ireland","ENR
[25]",,,1985-06-23
301,14,287,0,COM,Saudia Flight 163,Lockheed L-1011-200 TriStar,"Riyadh, Saudi Arabia","ENR
[26]",,,1980-08-19
298,15,283,0,EXG,Malaysia Airlines Flight 17,Boeing 777-2H6ER,"near Hrabove, Donetsk Oblast, Ukraine","ENR
[27]",,,2014-07-17
290,16,274,0,EXG,Iran Air Flight 655,Airbus A300B2-203,"Strait of Hormuz, off Shib Deraz, Iran","ENR
[28]",,,1988-07-03
275,18,257,0,MIL,Iranian Air Force (15-2280),Ilyushin Il-76MD,"near Kerman, Iran","ENR
[29]",,,2003-02-19
273,13,258,2,COM,American Airlines Flight 191,McDonnell Douglas DC-10-10,"Des Plaines, Illinois, U.S.","TOF
[30][31]
[32][nb 3]",ORD,"1.4 km
(0.87 mi)",1979-05-25
270,16,243,11,INB,Pan Am Flight 103,Boeing 747-121,"Lockerbie, United Kingdom","ENR
[34]",,,1988-12-21
269,23,246,0,EXS,Korean Air Lines Flight 007,Boeing 747-230B,"Sea of Japan, near Moneron Island, Russian SFSR, USSR","ENR
[35]",,,1983-09-01
265,9,251,5,COM,American Airlines Flight 587,Airbus A300B4-605R,"Belle Harbor, New York City, New York, U.S.","ENR
[36][37]",,,2001-11-12
264,15,249,0,COM,China Airlines Flight 140,Airbus A300B4-622R,"Komaki, Japan","APR
[38][39]",NKM,"<0.1 km
(0.06 mi)",1994-04-26
261,14,247,0,COM,Nigeria Airways Flight 2120,McDonnell Douglas DC-8-61,"Jeddah, Saudi Arabia","APR
[40]",JED,"2.8 km
(1.7 mi)",1991-07-11
257,10,247,0,MIL,Algerian Air Force (7T-WIV),Ilyushin Il-76TD,"Boufarik, Algeria","ICL
[41]",,,2018-04-11
257,20,237,0,COM,Air New Zealand Flight 901,McDonnell Douglas DC-10-30,"Mount Erebus, Antarctica","ENR
[32][42]",,,1979-11-28
256,8,248,0,COM,Arrow Air Flight 1285,McDonnell Douglas DC-8-63CF,"Gander, Newfoundland, Canada","ICL
[43]",YQX,"1 km
(0.6 mi)",1985-12-12
251,2,0,249[nb 4],COM,Air Africa (RA-26222),Antonov An-32B,"Kinshasa, DR Congo (then Zaire)","ICL
[44][45][46]",NLO,"0.6 km
(0.4 mi)",1996-01-08
239,12,227,0,COM,Malaysia Airlines Flight 370,Boeing 777-2H6ER,"Unknown, possibly Indian Ocean","ENR
[47]",,,2014-03-08
234,12,222,0,COM,Garuda Indonesia Flight 152,Airbus A300B4-220,"near Medan, Indonesia","APR
[48]",MES,"32 km
(20 mi)",1997-09-26
230,18,212,0,COM,TWA Flight 800,Boeing 747-131,"Atlantic Ocean, off East Moriches, New York, U.S.","ENR
[49][50]",,,1996-07-17
229,14,215,0,COM,Swissair Flight 111,McDonnell Douglas MD-11,"Atlantic Ocean, off Peggys Cove, N.S., Canada","ENR
[51][52]",,,1998-09-02
229,14,215,0,COM,Korean Air Flight 801,Boeing 747-3B5,"Asan-Maina, Guam, U.S.","APR
[53][54]",GUM,"4.8 km
(3 mi)",1997-08-06
228,12,216,0,COM,Air France Flight 447,Airbus A330-203,"Atlantic Ocean, area of Saint Peter and Saint Paul Archipelago","ENR
[55]",,,2009-06-01
225,19,206,0,COM,China Airlines Flight 611,Boeing 747-209B,"Taiwan Strait, near Penghu Islands, Taiwan","ENR
[56]",,,2002-05-25
224,7,217,0,INB,Metrojet Flight 9268,Airbus A321-231,"near Hasna, North Sinai Governorate, Egypt","ENR
[57]",,,2015-10-31
223,10,213,0,COM,Lauda Air Flight 004,Boeing 767-3Z9ER,"Phu Toei National Park, Thailand","ENR
[58]",,,1991-05-26
217,15,202,0,COM,EgyptAir Flight 990,Boeing 767-366ER,"Atlantic Ocean, area of Nantucket, Massachusetts, U.S.","ENR
[59][nb 6]",,,1999-10-31
213,23,190,0,COM,Air India Flight 855,Boeing 747-237B,"Arabian Sea, off Mumbai, India","ENR
[61]",,,1978-01-01
203,14,182,7,COM,China Airlines Flight 676,Airbus A300B4-622R,"Dayuan District, Taiwan","APR
[62]",TPE,"0.06 km
(0.04 mi)",1998-02-16
200,9,191,0,COM,Aeroflot Flight 7425,Tupolev Tu-154B-2,"near Uchkuduk, Uzbek SSR, USSR","ENR
[63]",,,1985-07-10
199,6,181,12,COM,TAM Airlines Flight 3054,Airbus A320-233,"São Paulo, Brazil","LDG
[64]",CGH,,2007-07-17
191,9,182,0,COM,Martinair Holland Flight 138,Douglas DC-8-55F,"near Maskeliya, Sri Lanka","ENR
[65]",,,1974-12-04
189,8,181,0,COM,Lion Air Flight 610,Boeing 737 MAX 8,"Java Sea, off Tanjungbungin, Karawang Regency, Indonesia","ENR
[66]",,,2018-10-29
189,6,58,125,INH,American Airlines Flight 77,Boeing 757-223,"Arlington, Virginia, U.S.","ENR
[67]",,,2001-09-11
189,13,176,0,COM,Birgenair Flight 301,Boeing 757-225,"Atlantic Ocean, near Puerto Plata, Dominican Republic","ENR
[68]",,,1996-02-06
188,7,181,0,COM,Alia Royal Jordanian (JY-AEE),Boeing 707-321C,"Tamri, Morocco","ENR
[69]",,,1975-08-03
183,11,172,0,COM,LOT Polish Airlines Flight 5055,Ilyushin Il-62M,"Warsaw, Poland","ENR
[nb 7][70]",WAW,"6 km
(3.7 mi)",1987-05-09
183,8,175,0,COM,Icelandic Airlines Flight 001,Douglas DC-8-63CF,"Katunayake, Sri Lanka","APR
[71]",CMB,"2.1 km
(1.3 mi)",1978-11-15
181,19,162,0,COM,Avianca Flight 011,Boeing 747-283B,"Madrid, Spain","APR
[72]",MAD,"12 km
(7.5 mi)",1983-11-27
180,7,173,0,COM,Inex-Adria Aviopromet Flight 1308,McDonnell Douglas MD-81,"Mt. San Pietro, Petreto-Bicchisano, Corsica, France","ENR
[73]",,,1981-12-01
178,5,169,4,COM,Aeroflot Flight 3352,Tupolev Tu-154,"Omsk, Russian SFSR, USSR","LDG
[74]",OMS,,1984-10-11
178,13,165,0,COM,"Aeroflot/Moldovia flight 7628
and Aeroflot flight 7880",Tupolev Tu-134A (both),"near Dniprodzerzhynsk, Ukrainian SSR, USSR","ENR
[75][76]",,,1979-08-11
176,9,167,0,EXG,Ukraine International Airlines Flight 752,Boeing 737-800,"Tehran, Iran",ICL,IKA,,2020-01-08
176,9,167,0,COM,Surinam Airways Flight 764,Douglas DC-8-62,"Paramaribo, Surinam","APR
[77]",PBM,"3 km
(1.9 mi)",1989-06-07
176,14,162,0,COM,"British Airways Flight 476 and
Inex Adria Flight 550","Hawker Siddeley Trident 3B and
Douglas DC-9-32","Vrbovec, SR Croatia, Yugoslavia","ENR
[78][79]
[80]",,,1976-09-10
176,6,170,0,COM,Nigeria Airways (JY-ADO),Boeing 707-3D3C,"Kano, Nigeria","LDG
[81]",KAN,,1973-01-22
174,10,164,0,COM,Aeroflot Flight 217,Ilyushin Il-62,"Moscow, Russian SFSR, USSR","APR
[82]",SVO,"11 km
(6.8 mi)",1972-10-13
170,10,160,0,COM,Pulkovo Flight 612,Tupolev Tu-154M,"Sukha Balka, Donetsk Obl., Ukraine","ENR
[83]",,,2006-08-22
170,14,156,0,INB,Union de Transports Aériens Flight 772,McDonnell Douglas DC-10-30,"Ténéré, Niger","ENR
[84][85]",,,1989-09-19
169,10,159,0,COM,Kenya Airways Flight 431,Airbus A310-304,"Gulf of Guinea
off Côte d'Ivoire","ENR
[86]",,,2000-01-30
168,12,156,0,COM,Caspian Airlines Flight 7908,Tupolev Tu-154M,"Qazvin, Iran","ENR
[87]",,,2009-07-15
167,12,155,0,COM,Pakistan International Airlines Flight 268,Airbus A300B4-200,"Kathmandu, Nepal","APR
[88]",KTM,"20 km
(12 mi)",1992-09-28
167,8,159,0,COM,Mexicana Flight 940,Boeing 727-264,"Sierra Madre Occidental Mts., Mexico","ENR
[89]",,,1986-03-31
166,10,156,0,COM,Aeroflot Flight 4225,Tupolev Tu-154B-2,"Almaty, Kazakh SSR, USSR","ENR
[90]",,,1980-07-08
162,7,155,0,COM,Indonesia AirAsia Flight 8501,Airbus A320-216,"Karimata Strait, between Belitung and Borneo, Java Sea, Indonesia","ENR
[91]",,,2014-12-28
162,7,155,0,COM,"All Nippon Airways Flight 58 and
JASDF (92-7932)",Boeing 727-200 and North American F-86 Sabre,"Shizukuishi, Japan","ENR
[92]",,,1971-07-30
160,8,152,0,COM,West Caribbean Airways Flight 708,McDonnell Douglas MD-82,"Machiques, Venezuela","ENR
[93]",,,2005-08-16
160,14,146,0,COM,China Northwest Airlines Flight 2303,Tupolev Tu-154M,"Xian, China","ENR
[94]",,,1994-06-06
159,6,147,6,COM,Dana Air Flight 992,McDonnell Douglas MD-83,"Lagos, Nigeria","APR
[95]",LOS,"9.3 km
(5.8 mi)",2012-06-03
159,8,151,0,COM,American Airlines Flight 965,Boeing 757-223,"near Buga, Colombia","APR
[96]",CLO,"c. 48 km
(30 mi)",1995-12-20
159,8,151[nb 8],0,MIL,Nigerian Air Force (NAF911),Lockheed C-130H Hercules,"Lagos, Nigeria","ENR
[97]",,,1992-09-26
159,19,140,0,COM,South African Airways Flight 295,Boeing 747-244B,"Indian Ocean, area of Mauritius","ENR
[98]",,,1987-11-28
158,6,152,0,COM,Air India Express Flight 812,Boeing 737-8HG,"Mangalore, India","LDG
[99]",IXE,,2010-05-22
157,8,149,0,COM,Ethiopian Airlines Flight 302,Boeing 737 MAX 8,"Bishoftu, Ethiopia","ENR
[100]",,,2019-03-10
157,10,147,0,COM,"Libyan Arab Airlines Flight 1103 and
Libyan Air Force",Boeing 727-2L5 and Mikoyan-Gurevich MiG-23,"Qasr bin Ghashir, Tripoli, Libya","APR
[101]",TIP,"9 km
(5.6 mi)",1992-12-22
156,6,148,2,COM,Northwest Airlines Flight 255,McDonnell Douglas DC-9-82,"Romulus, Michigan, U.S.","TOF
[102][103]",DTW,"<0.5 km
(0.3 mi)",1987-08-16
156,11,145,0,COM,Pakistan International Airlines Flight 740,Boeing 707-340C,"near Taif, Saudi Arabia","ENR
[104]",,,1979-11-26
156,8,148,0,COM,Interflug (DM-SEA),Ilyushin Il-62,"Königs Wusterhausen, East Germany","ENR
[105]",,,1972-08-14
155,7,148,0,COM,Spantax Flight 275,Convair 990 Coronado,"San Cristóbal, Tenerife, Canary Islands, Spain","ICL
[106]",TFN,"0.33 km
(0.2 mi)",1972-12-03
155,10,74,71,COM,Viasa Flight 742,McDonnell Douglas DC-9-32,"Maracaibo, Venezuela","ICL
[107]",MAR,"0.85 km
(0.5 mi)",1969-03-16
155,6,149,0,MIL,US Air Force (60-0297),Lockheed C-130B Hercules,"Kham Duc, South Vietnam","ICL
[108]",,,1968-05-12
154,6,148,0,COM,Spanair Flight 5022,McDonnell Douglas MD-82,"Madrid, Spain","TOF
[109]",MAD,"<0.5 km
(0.3 mi)",2008-08-20
154,6,148,0,COM,"Gol Transportes Aéreos Flight 1907 and
ExcelAire (N600XL)",Boeing 737-8EH and Embraer Legacy 600,"near Peixoto Azevedo, Brazil","ENR
[110]",,,2006-09-29
154,8,146,0,COM,Turkish Airlines Flight 452,Boeing 727-2F2,"Isparta, Turkey","APR
[111]",***[nb 9],,1976-09-19
153,7,138,8,COM,Pan Am Flight 759,Boeing 727-235,"Kenner, Louisiana, US","ICL
[112][113]",MSY,"<1 km
(0.6 mi)",1982-07-09
152,6,146,0,COM,Airblue Flight 202,Airbus A321-231,"Islamabad, Pakistan","APR
[114]",ISB,"15 km
(9.3 mi)",2010-07-28
152,11,141,0,COM,Yemenia Flight 626,Airbus A310-324,"Mozambique Channel off Mitsamiouli, Comoros","APR
[115]",HAH,"c. 40 km
(25 mi)",2009-06-30
150,6,144,0,COM,Germanwings Flight 9525,Airbus A320-211,"near French Alps, France","ENR
[116]",,,2015-03-24
150,11,115,24,COM,Cubana de Aviación Flight 9046,Ilyushin II-62M,"Havana, Cuba","ICL
[117]",HAV,"<1.5 km
(0.9 mi)",1989-09-03
149,5,95,49,COM,Mandala Airlines Flight 091,Boeing 737-230,"Medan, Indonesia","ICL
[118][119]",MES,"c. 1 km
(0.6 mi)",2005-09-05
148,13,135,0,COM,Flash Airlines Flight 604,Boeing 737-3Q8,"Red Sea, off Sharm el-Sheikh, Egypt","ENR
[120]",,,2004-01-03
148,7,141,0,COM,Iberia Airlines Flight 610,Boeing 727-256,"Oiz mountain, Spain","ENR
[121]",,,1985-02-19
146,8,138,0,COM,Dan-Air Flight 1008,Boeing 727-46,"La Esperanza Forrest, Tenerife, Canary Islands, Spain","APR
[122]",TFN,"12 km
(7.5 mi)",1980-04-25
145,9,136,0,COM,Vladivostok Air Flight 352,Tupolev Tu-154M,"near Budaro, Irkutsk, Russia","APR
[123]",IKT,"23 km
(14 mi)",2001-07-04
144,10,134,0,COM,ADC Airlines Flight 86,Boeing 727-231,"Ejirin, Lagos State, Nigeria","APR
[124]",LOS,"56 km
(35 mi)",1996-11-07
144,7,137,0,COM,Independent Air Flight 1851,Boeing 707-331B,"Pico Alto Mtn., Azores, Portugal","APR
[125]",SMA,"6.6 km
(4.1 mi)",1989-02-08
144,9,128,7,COM,"PSA Flight 182 and
Private aircraft (N7711G)",Boeing 727-214 and Cessna 172,"San Diego, California, US","APR
[126][127]",SAN,"5.6 km
(3.5 mi)",1978-09-25
143,8,135,0,COM,Gulf Air Flight 072,Airbus A320-212,"Persian Gulf, off Al Muharraq, Bahrain","APR
[128]",BAH,"2 km
(1.2 mi)",2000-08-23
143,7,136,0,COM,Avianca Flight 410,Boeing 727-21,"Sardinata, Colombia","ENR
[129]",,,1988-03-17
141,5,136[nb 10],0,COM,UTAGE Flight 141,Boeing 727-223,"Cotonou, Benin","TOF
[130]",COO,"<1 km
(0.6 mi)",2003-12-25
141,11,130,0,COM,Vnukovo Airlines Flight 2801,Tupolev Tu-154M,"Svalbard, Norway","APR
[131]",LYR,"14.3 km
(8.9 mi)",1996-08-29
141,4,137,0,COM,Trans Service Airlift (9Q-CRR),Lockheed L-188 Electra,"Jamba, Cuando Cubango, Angola","TOF
[132]",,,1995-12-18
141,10,131,0,COM,China Southern Airlines Flight 3943,Boeing 737-31B,"Hejiaqiao, Yanshan District, China","APR
[133]",KWL,"20 km
(12 mi)",1992-11-24
139,12,110[nb 11],17[nb 12],MIL,Indonesian Air Force (A-1310),Lockheed C-130 Hercules,"Medan, Indonesia","ICL
[134]",MES,"1 km
(0.6 mi)",2015-06-30
138,11,127,0,MIL,US Air Force (68-0218),Lockheed C-5A Galaxy,"Saigon, South Vietnam","ENR
[135]",,,1975-04-04
137,8,128,1,COM,Delta Air Lines Flight 191,Lockheed L-1011 TriStar,"Dallas–Fort Worth, Texas, US","APR
[136][137]",DFW,"c. 2 km
(1.2 mi)",1985-08-02
137,9,128,0,COM,VASP Flight 168,Boeing 727-212A,"Pacatuba, Brazil","APR
[138]",FOR,"25 km
(16 mi)",1982-06-08
135,12,121,2,MIL,Indonesian Air Force (A-1324),Lockheed C-130H-30 Hercules,"East Jakarta, Indonesia","ICL
[139]",HLP,"3 km
(1.9 mi)",1991-10-05
134,12,116,6,COM,"United Airlines Flight 826 and
TWA Flight 266",Douglas DC-8-21 and Lockheed L-1049,"New York City, US","APR
[140][141]
[142]",LGA,,1960-12-16
133,14,119,0,MIL,"Iran Air Tours Flight 962
and Iranian Air Force Su-24",Tupolev Tu-154 and Sukhoi Su-24,"Shahr-e Qods, Iran","APR/TOF
[143]",THR,"15 km
(9.3 mi)",1993-02-08
133,6,127,0,COM,Indian Airlines Flight 113,Boeing 737-2A8,"Ahmedabad, India","APR
[144]",AMD,"5 km
(3.1 mi)",1988-10-19
133,7,126,0,COM,All Nippon Airways Flight 60,Boeing 727-81,"Tokyo Bay, Japan","APR
[145]",HND,"12 km
(7.5 mi)",1966-02-04
132,5,127,0,COM,USAir Flight 427,Boeing 737-3B7,"Aliquippa, Pennsylvania, US","APR
[146][147]",PIT,"13 km
(8.1 mi)",1994-09-08
132,7,125,0,COM,SAM Colombia Flight 501,Boeing 727-146,"La Canada, near Medellín, Colombia","ENR
[148]",,,1993-05-19
132,8,124,0,COM,Aeroflot Flight 8641,Yakovlev Yak-42,"Mazyr, Byelorussian SSR, USSR","ENR
[149][150]",,,1982-06-28
131,7,124,0,COM,Air Philippines Flight 541,Boeing 737-2H4,"Samal, Philippines","APR
[151]",DVO,"7.5 km
(4.7 mi)",2000-04-19
131,4,127,0,COM,Tan-Sahsa Flight 414,Boeing 727-224,"Tegucigalpa, Honduras","APR
[152]",TGU,"9 km
(5.6 mi)",1989-10-21
131,6,125,0,COM,TAP Portugal Flight 425,Boeing 727-282Adv,"Santa Cruz, Madeira","LDG
[153]",FNC,,1977-11-19
130,4,126,0,COM,TAAG Angola Airlines (D2-TBN),Boeing 737-200,"Lubango, Angola","ICL
[nb 14]",SDD,"1 km
(0.6 mi)",1983-11-08
130,8,122,0,COM,Air France Flight 007,Boeing 707-328,"Paris, France","TOF
[155]",ORY,,1962-06-03
129,8,121,0,COM,Air China Flight 129,Boeing 767-2J6ER,"Busan, South Korea","APR
[156]",PUS,"4.6 km
(2.9 mi)",2002-04-15
129,7,122,0,MIL,US Air Force (51-0137),Douglas C-124A-DL Globemaster II,"Tachikawa, Japan","APR
[157]",RJTC,"5.6 km
(3.5 mi)",1953-06-18
128,7,121,0,INH,"Xiamen Air Flight 8301,
China Southwest Flight 2402,
and China Southern (B-2812)","Boeing 737-247, Boeing 707-3J6B, and Boeing 757-21B","Baiyun District, Guangzhou, China","LDG/STD
[158][159][160][nb 15]",***,,1990-10-02
128,8,120,0,COM,Iran Air Flight 291,Boeing 727-86,"Alborz Mountains, Iran","APR
[161]",THR,"29 km
(18 mi)",1980-01-21
128,11,117,0,COM,"United Airlines Flight 718 and
TWA Flight 2",Douglas DC-7 and Lockheed L-1049,"Grand Canyon, Arizona, US","ENR
[162][163]
[164]",,,1956-06-30
127,6,121,0,COM,Bhoja Air Flight 213,Boeing 737-236,"Islamabad, Pakistan","APR
[165]",ISB,"c. 2.5 km
(1.6 mi)",2012-04-20
127,0,127,0,MIL,Russian Air Force (89 red),Mil Mi-26,"Khankala, Chechnya, Russia","APR
[166][167]",,,2002-08-19
126,11,115,0,COM,ČSA Flight 540,Ilyushin Il-62,"Damascus, Syria","APR
[168]",DAM,"17 km
(11 mi)",1975-08-20
126,9,117,0,COM,Globe Air (HB-ITB),Bristol Britannia 313,"Nicosia, Cyprus","APR
[169]",NIC,"3.5 km
(2.2 mi)",1967-04-20
125,5,120,0,COM,Sibir (S7) Airlines Flight 778,Airbus A310-300,"Irkutsk, Russia","LDG
[170]",IKT,,2006-07-09
125,6,119,0,INH,Ethiopian Airlines Flight 961,Boeing 767-260ER,"Indian Ocean, off Grande Comore, Comoros","APR
[171]",HAH[nb 16],"0.5 km
(0.3 ml)",1996-11-23
124,9,115,1,COM,Baikal Air Flight 130,Tupolev Tu-154,"Irkutsk, Russia","ENR
[172]",,,1994-01-03
124,11,113,0,COM,BOAC Flight 911,Boeing 707-436,"Gotemba, Japan","ENR
[173]",,,1966-03-05
123,6,117,0,COM,Faucett Flight 251,Boeing 737-222,"Arequipa, Peru","APR
[174]",AQP,"6.3 km
(3.9 mi)",1996-02-29
123,7,116,0,COM,Varig Flight 820,Boeing 707-320C,"Saulx-les-Chartreux, France","APR
[175]",ORY,"5 km
(3.1 mi)",1973-07-11
123,12,111,0,COM,South African Airways Flight 228,Boeing 707-344C,"Windhoek, Namibia (then South West Africa)","ICL
[176]",WDH,"5 km
(3.1 mi)",1968-04-20
122,14,108,0,MIL,Myanmar Air Force (5820),Shaanxi Y-8F-200,"Andaman Sea, off Dawei, Myanmar","ENR
[177]",,,2017-06-07
122,8,114,0,COM,Aeroflot Flight 964,Tupolev Tu-104B,"Domodedovo, Russian SFSR, USSR","APR
[178]",DME,"17 km
(11 mi)",1973-10-13
122,7,115,0,COM,Aeroflot Flight 1491,Antonov An-10,"near Kharkiv, Ukrainian SSR, USSR","APR
[179]",HRK,"24 km
(15 mi)",1972-05-18
121,6,115,0,COM,Helios Airways Flight 522,Boeing 737-31S,"Grammatiko, Greece","ENR
[180]",,,2005-08-14
121,13,108,0,COM,Pakistan International Airlines Flight 705,Boeing 720 040B,"New Cairo, Egypt","APR
[181]",CAI,"c. 20 km
(12 mi)",1965-05-20
